Date,ABBV,BMY,GSK,JNJ,MRK,NVS,PFE
2022-02-01,131.97628784179688,63.27975082397461,42.8506965637207,165.3162841796875,78.8206558227539,81.11146545410156,51.32035446166992
2022-02-02,133.53688049316406,62.90118408203125,43.33428955078125,167.1447296142578,78.90726470947266,79.0234375,52.084312438964844
2022-02-03,135.5695037841797,62.19256591796875,42.59466552734375,167.13507080078125,76.020751953125,79.49253845214844,51.620140075683594
2022-02-04,135.492431640625,63.085609436035156,42.48088073730469,166.04185485839844,75.58777618408203,79.36376953125,51.25266647338867
2022-02-07,137.3035125732422,64.25045013427734,42.66105270385742,165.49041748046875,74.64486694335938,80.21922302246094,51.45574188232422
2022-02-08,138.24757385253906,63.9592399597168,42.8791389465332,165.92575073242188,74.00020599365234,80.16403198242188,49.99552536010742
2022-02-09,137.9489288330078,65.17259979248047,41.96883773803711,165.9064178466797,73.63458251953125,80.21001434326172,49.773109436035156
2022-02-10,137.4769287109375,64.56107330322266,42.1395149230957,163.90380859375,73.6634521484375,78.94984436035156,48.931785583496094
2022-02-11,136.80258178710938,64.92022705078125,42.00676727294922,162.24949645996094,73.74041748046875,78.71068572998047,49.10585403442383
2022-02-14,137.75628662109375,64.85226440429688,40.65079116821289,160.20819091796875,73.57685852050781,78.8210678100586,48.158164978027344
2022-02-15,139.4517364501953,65.78414154052734,41.361968994140625,161.86251831054688,74.86615753173828,79.49253845214844,48.148494720458984
2022-02-16,140.52101135253906,65.61913299560547,41.14386749267578,161.76577758789062,74.29846954345703,80.89070892333984,48.042118072509766
2022-02-17,139.65402221679688,65.41529083251953,41.07749938964844,160.7789764404297,73.47101593017578,79.71331024169922,47.287837982177734
2022-02-18,138.7484893798828,65.57059478759766,40.811988830566406,159.0556182861328,73.48063659667969,79.46495056152344,46.93003845214844
2022-02-22,140.22239685058594,65.47351837158203,40.480106353759766,156.8941192626953,73.07652282714844,78.94984436035156,45.9630012512207
2022-02-23,141.3783721923828,65.93946075439453,40.88785171508789,156.9720001220703,72.97068786621094,79.58453369140625,45.32476043701172
2022-02-24,139.9430389404297,65.13377380371094,39.62940979003906,153.97315979003906,70.72884368896484,78.8118667602539,44.44476318359375
2022-02-25,144.0564422607422,66.78396606445312,41.062950134277344,161.62606811523438,73.43252563476562,80.60555267333984,46.14673614501953
2022-02-28,142.3513641357422,66.65777587890625,40.27402114868164,160.23374938964844,73.68268585205078,80.44918060302734,45.392452239990234
2022-03-01,142.2742919921875,66.61893463134766,39.975765228271484,159.6787567138672,73.45177459716797,80.13643646240234,44.2416877746582
2022-03-02,144.08535766601562,66.83250427246094,40.43758010864258,161.6649932861328,73.76927185058594,80.65154266357422,46.12739944458008
2022-03-03,144.89454650878906,67.08488464355469,39.879554748535156,164.04071044921875,74.23113250732422,79.23499298095703,46.25311279296875
2022-03-04,145.03903198242188,67.32756042480469,38.657676696777344,165.01434326171875,74.88540649414062,77.94721984863281,47.046077728271484
2022-03-07,143.96974182128906,66.75485229492188,37.96495056152344,167.67242431640625,74.7891845703125,76.84341430664062,46.39816665649414
2022-03-08,141.75408935546875,65.75502014160156,38.465248107910156,164.27439880371094,74.03868865966797,76.77344512939453,45.87596893310547
2022-03-09,143.38211059570312,66.13360595703125,39.77372741699219,164.89752197265625,74.84691619873047,78.72848510742188,47.14278030395508
2022-03-10,143.70001220703125,66.41510009765625,39.283050537109375,165.1896209716797,74.94313049316406,79.51432800292969,47.577945709228516
2022-03-11,143.59405517578125,66.85192108154297,39.023277282714844,164.88780212402344,75.29913330078125,78.93932342529297,48.612667083740234
2022-03-14,146.52259826660156,67.21106719970703,39.225318908691406,167.1661376953125,75.50298309326172,80.56851196289062,50.52739334106445
2022-03-15,150.16397094726562,67.70613098144531,40.12008285522461,171.49887084960938,76.33780670166016,81.2010269165039,50.488712310791016
2022-03-16,150.32772827148438,67.6187744140625,40.50492477416992,169.9215545654297,75.8330307006836,81.11477661132812,51.175296783447266
2022-03-17,152.7745819091797,68.45355987548828,41.4189338684082,172.14149475097656,76.6290283203125,82.83980560302734,52.451786041259766
2022-03-18,153.3622283935547,68.93891143798828,41.39007568359375,170.23313903808594,76.79405212402344,83.17523193359375,52.7128791809082
2022-03-21,154.18106079101562,68.9680404663086,41.21689224243164,171.19705200195312,76.7455062866211,82.49480438232422,52.4034309387207
2022-03-22,154.1425018310547,68.74476623535156,41.59211349487305,170.388916015625,76.9784927368164,82.3318862915039,51.291351318359375
2022-03-23,152.61080932617188,69.28836059570312,41.28424072265625,169.74630737304688,77.39590454101562,81.98687744140625,50.46936798095703
2022-03-24,154.4026336669922,70.2881851196289,41.659461975097656,170.6226043701172,78.05598449707031,83.0314712524414,50.85618209838867
2022-03-25,155.4141082763672,71.13268280029297,41.64022445678711,172.25833129882812,78.9587631225586,83.2423095703125,51.039920806884766
2022-03-28,156.0306396484375,70.9676742553711,41.726810455322266,173.14434814453125,78.83256530761719,83.36689758300781,51.523433685302734
2022-03-29,156.23294067382812,71.08415985107422,41.649845123291016,173.05673217773438,79.1820297241211,83.86524200439453,51.00123977661133
2022-03-30,157.74537658691406,71.5597915649414,42.044307708740234,174.8579864501953,79.98773956298828,84.29649353027344,50.711124420166016
2022-03-31,156.16549682617188,71.41311645507812,41.90961837768555,172.56015014648438,79.64798736572266,84.09524536132812,50.0632209777832
2022-04-01,156.714599609375,72.18562316894531,42.22711181640625,173.494873046875,81.07493591308594,84.0377426147461,49.869808197021484
2022-04-04,155.95359802246094,72.15629577636719,42.09241485595703,171.8201904296875,81.04582214355469,83.69274139404297,49.26057815551758
2022-04-05,157.43710327148438,72.7821273803711,42.881351470947266,172.93014526367188,81.26908874511719,84.49774932861328,49.550689697265625
2022-04-06,162.71617126464844,73.67196655273438,43.98777770996094,177.4284210205078,82.48249816894531,86.87445831298828,51.126949310302734
2022-04-07,166.92591857910156,75.54946899414062,44.47845458984375,176.9707794189453,84.25892639160156,87.59322357177734,53.341453552246094
2022-04-08,168.54432678222656,76.04816436767578,44.872920989990234,177.32131958007812,85.1131591796875,88.86782836914062,53.35112380981445
2022-04-11,163.60243225097656,74.80628967285156,44.71897888183594,175.1013946533203,84.09390258789062,89.84534454345703,52.15200424194336
2022-04-12,161.17483520507812,74.85518646240234,44.767086029052734,175.15980529785156,83.12317657470703,88.8103256225586,51.359039306640625
2022-04-13,154.42279052734375,75.16809844970703,45.0749626159668,175.8997802734375,83.60852813720703,89.06908416748047,51.349365234375
2022-04-14,157.6870880126953,75.79393768310547,44.56504440307617,175.15980529785156,84.36570739746094,88.66657257080078,51.368709564208984
