ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2004-05-28,14.074115900567406,11.922144617923834,17.87475689253167,14.074115900567406,14.074115900567406,0.8598318919488668,0.8598318919488668,0.8598318919488668,0.6442113408354161,0.6442113408354161,0.6442113408354161,0.21562055111345066,0.21562055111345066,0.21562055111345066,0.0,0.0,0.0,14.933947792516273
2004-06-01,14.075335807442507,11.888518746966778,17.9340099581452,14.075335807442507,14.075335807442507,0.7409559202257642,0.7409559202257642,0.7409559202257642,0.6084948208275825,0.6084948208275825,0.6084948208275825,0.1324610993981817,0.1324610993981817,0.1324610993981817,0.0,0.0,0.0,14.81629172766827
2004-06-02,14.07564078416128,11.971188098293789,17.785228396362324,14.07564078416128,14.07564078416128,0.7394517866764554,0.7394517866764554,0.7394517866764554,0.6303748478267418,0.6303748478267418,0.6303748478267418,0.10907693884971358,0.10907693884971358,0.10907693884971358,0.0,0.0,0.0,14.815092570837734
2004-06-03,14.075945760880055,12.042653741504589,17.949264297401015,14.075945760880055,14.075945760880055,0.7090892194680702,0.7090892194680702,0.7090892194680702,0.6237206475623379,0.6237206475623379,0.6237206475623379,0.08536857190573235,0.08536857190573235,0.08536857190573235,0.0,0.0,0.0,14.785034980348126
2004-06-04,14.07625073759883,11.801702018304876,17.59065265318618,14.07625073759883,14.07625073759883,0.7059066576275742,0.7059066576275742,0.7059066576275742,0.6442113408371054,0.6442113408371054,0.6442113408371054,0.06169531679046889,0.06169531679046889,0.06169531679046889,0.0,0.0,0.0,14.782157395226404
2004-06-07,14.077165667755153,11.513974109992253,17.668765352646336,14.077165667755153,14.077165667755153,0.605668192192055,0.605668192192055,0.605668192192055,0.6113980908404357,0.6113980908404357,0.6113980908404357,-0.005729898648380671,-0.005729898648380671,-0.005729898648380671,0.0,0.0,0.0,14.682833859947209
2004-06-08,14.071804035773498,11.806785520881025,17.519343591570227,14.071804035773498,14.071804035773498,0.5824974962151821,0.5824974962151821,0.5824974962151821,0.6084948208269538,0.6084948208269538,0.6084948208269538,-0.02599732461177172,-0.02599732461177172,-0.02599732461177172,0.0,0.0,0.0,14.654301531988681
2004-06-09,14.066442403791841,11.662120854292233,17.649032532728295,14.066442403791841,14.066442403791841,0.585638288858122,0.585638288858122,0.585638288858122,0.6303748478267357,0.6303748478267357,0.6303748478267357,-0.04473655896861366,-0.04473655896861366,-0.04473655896861366,0.0,0.0,0.0,14.652080692649964
2004-06-10,14.061080771810184,11.584874274028927,17.646322294744902,14.061080771810184,14.061080771810184,0.5619692338906004,0.5619692338906004,0.5619692338906004,0.6237206475629606,0.6237206475629606,0.6237206475629606,-0.06175141367236017,-0.06175141367236017,-0.06175141367236017,0.0,0.0,0.0,14.623050005700785
2004-06-14,14.039634243883562,11.582144173903666,17.614751695375727,14.039634243883562,14.039634243883562,0.5011853121110555,0.5011853121110555,0.5011853121110555,0.6113980908387653,0.6113980908387653,0.6113980908387653,-0.11021277872770975,-0.11021277872770975,-0.11021277872770975,0.0,0.0,0.0,14.540819555994617
2004-06-15,14.034272611901905,11.560127302058058,17.390761523365306,14.034272611901905,14.034272611901905,0.4912505034596344,0.4912505034596344,0.4912505034596344,0.6084948208274704,0.6084948208274704,0.6084948208274704,-0.11724431736783594,-0.11724431736783594,-0.11724431736783594,0.0,0.0,0.0,14.525523115361539
2004-06-16,14.02891097992025,11.494467057832328,17.447920642728022,14.02891097992025,14.02891097992025,0.5080494533079405,0.5080494533079405,0.5080494533079405,0.6303748478267535,0.6303748478267535,0.6303748478267535,-0.12232539451881293,-0.12232539451881293,-0.12232539451881293,0.0,0.0,0.0,14.53696043322819
2004-06-17,14.023549347938594,11.439553501513963,17.647133376393608,14.023549347938594,14.023549347938594,0.49815178868512855,0.49815178868512855,0.49815178868512855,0.6237206475635833,0.6237206475635833,0.6237206475635833,-0.12556885887845476,-0.12556885887845476,-0.12556885887845476,0.0,0.0,0.0,14.521701136623722
2004-06-18,14.018187715956936,11.749504481635649,17.725114256180504,14.018187715956936,14.018187715956936,0.5170894253273687,0.5170894253273687,0.5170894253273687,0.6442113408372296,0.6442113408372296,0.6442113408372296,-0.12712191550986088,-0.12712191550986088,-0.12712191550986088,0.0,0.0,0.0,14.535277141284304
2004-06-21,14.002102820011968,11.476327591657848,17.445124213593918,14.002102820011968,14.002102820011968,0.4878860482159936,0.4878860482159936,0.4878860482159936,0.6113980908403059,0.6113980908403059,0.6113980908403059,-0.12351204262431242,-0.12351204262431242,-0.12351204262431242,0.0,0.0,0.0,14.489988868227963
2004-06-22,13.996741188030311,11.697431970966012,17.548167829586074,13.996741188030311,13.996741188030311,0.48822705902441316,0.48822705902441316,0.48822705902441316,0.6084948208279868,0.6084948208279868,0.6084948208279868,-0.12026776180357361,-0.12026776180357361,-0.12026776180357361,0.0,0.0,0.0,14.484968247054725
2004-06-23,13.991379556048654,11.627212504452412,17.599246766148067,13.991379556048654,13.991379556048654,0.5139916163697951,0.5139916163697951,0.5139916163697951,0.6303748478267709,0.6303748478267709,0.6303748478267709,-0.11638323145697581,-0.11638323145697581,-0.11638323145697581,0.0,0.0,0.0,14.50537117241845
2004-06-24,13.986017924067,11.616468048951795,17.468706457460264,13.986017924067,13.986017924067,0.5116344583358444,0.5116344583358444,0.5116344583358444,0.6237206475633423,0.6237206475633423,0.6237206475633423,-0.112086189227498,-0.112086189227498,-0.112086189227498,0.0,0.0,0.0,14.497652382402844
2004-06-25,13.980656292085344,11.425827449762837,17.444007086852857,13.980656292085344,13.980656292085344,0.5366162649603561,0.5366162649603561,0.5366162649603561,0.6442113408389185,0.6442113408389185,0.6442113408389185,-0.10759507587856242,-0.10759507587856242,-0.10759507587856242,0.0,0.0,0.0,14.5172725570457
2004-06-28,13.964571396140375,11.44045822588124,17.562872751342915,13.964571396140375,13.964571396140375,0.5165168387372537,0.5165168387372537,0.5165168387372537,0.6113980908418466,0.6113980908418466,0.6113980908418466,-0.09488125210459288,-0.09488125210459288,-0.09488125210459288,0.0,0.0,0.0,14.481088234877628
2004-06-29,13.959209764158718,11.459207196949386,17.56337106633045,13.959209764158718,13.959209764158718,0.5170781929624583,0.5170781929624583,0.5170781929624583,0.6084948208273582,0.6084948208273582,0.6084948208273582,-0.09141662786489996,-0.09141662786489996,-0.09141662786489996,0.0,0.0,0.0,14.476287957121176
2004-06-30,13.953848132177063,11.474561541593587,17.397814222706895,13.953848132177063,13.953848132177063,0.541850156509232,0.541850156509232,0.541850156509232,0.6303748478267253,0.6303748478267253,0.6303748478267253,-0.0885246913174934,-0.0885246913174934,-0.0885246913174934,0.0,0.0,0.0,14.495698288686295
